observation_id,common_name,scientific_name,family,genus,observed_length_(m),observed_weight_(kg),age_class,sex,date_of_observation,country/region,habitat_type,conservation_status,observer_name,notes
255,nile crocodile,crocodylus niloticus,crocodylidae,crocodylus,3.56,437.1,adult,female,27-08-2010,uganda,reservoirs,least concern,meghan white,single particularly television they road through low maintain thought key.
256,west african dwarf crocodile,osteolaemus tetraspis,crocodylidae,osteolaemus,1.03,10.4,adult,unknown,05-05-2011,liberia,forest swamps,vulnerable,matthew smith,should office north within prove full mission red believe product eat generation put his stuff next.
257,american crocodile,crocodylus acutus,crocodylidae,crocodylus,3.51,241.3,adult,unknown,14-09-2011,cuba,estuaries,vulnerable,amy schneider md,system thank avoid man drive wife anyone development poor idea dog learn soon large task language.
258,mugger crocodile (marsh crocodile),crocodylus palustris,crocodylidae,crocodylus,3.53,233.8,adult,unknown,28-07-2005,pakistan,reservoirs,vulnerable,jonathan valdez,idea along near stay social white point.
259,borneo crocodile (disputed),crocodylus raninus,crocodylidae,crocodylus,3.06,162.8,subadult,unknown,09-08-2022,malaysia (borneo),estuarine systems,data deficient,kristina pena,wear guy approach development lawyer nice people list price respond box service develop game stop who.
260,freshwater crocodile (johnstone's),crocodylus johnstoni,crocodylidae,crocodylus,2.86,107.4,adult,male,31-03-2020,australia,gorges,least concern,joseph park,to manage state score.
261,mugger crocodile (marsh crocodile),crocodylus palustris,crocodylidae,crocodylus,2.87,160.3,subadult,female,16-03-2006,iran (historic),lakes,vulnerable,david gonzalez,us hotel lead sit response blue increase unit study.
262,philippine crocodile,crocodylus mindorensis,crocodylidae,crocodylus,2.1,59.1,adult,male,29-06-2009,philippines,rivers,critically endangered,patricia hayes,what care material morning any very stuff lot meet tv concern official room campaign hold over third.
263,cuban crocodile,crocodylus rhombifer,crocodylidae,crocodylus,1.56,47.1,juvenile,female,12-09-2009,cuba,freshwater wetlands,critically endangered,janice petty,event white wife laugh card include record security federal reduce team.
264,american crocodile,crocodylus acutus,crocodylidae,crocodylus,0.58,75.8,hatchling,male,03-01-2025,costa rica,estuaries,vulnerable,taylor chen,decide research rather tv car.
265,nile crocodile,crocodylus niloticus,crocodylidae,crocodylus,4.0,438.8,subadult,male,09-09-2011,tanzania,reservoirs,least concern,vanessa thompson,reason follow break good lose number project individual security subject experience suggest space mission agent certainly prove customer.
266,west african dwarf crocodile,osteolaemus tetraspis,crocodylidae,osteolaemus,1.05,11.9,subadult,male,27-09-2009,cameroon,forest swamps,vulnerable,candace mitchell,chair artist six daughter must grow laugh pattern push no difference positive.
267,orinoco crocodile,crocodylus intermedius,crocodylidae,crocodylus,2.82,223.0,adult,unknown,03-02-2006,venezuela,large rivers,critically endangered,jorge robles,realize another high indicate small.
268,saltwater crocodile,crocodylus porosus,crocodylidae,crocodylus,3.08,418.9,juvenile,female,10-06-2014,malaysia,estuaries,least concern,tracy brown,data than team kitchen difficult plant remember happy open school cultural right.
269,siamese crocodile,crocodylus siamensis,crocodylidae,crocodylus,2.85,151.8,adult,female,23-07-2007,cambodia,swamps,critically endangered,jerry lucero,cost community message help investment news.
270,philippine crocodile,crocodylus mindorensis,crocodylidae,crocodylus,2.31,84.8,adult,unknown,06-12-2025,philippines,rivers,critically endangered,kevin scott,letter visit always up others similar personal successful feeling.
271,nile crocodile,crocodylus niloticus,crocodylidae,crocodylus,2.68,286.7,juvenile,unknown,09-03-2010,south africa,marshes,least concern,krista jones,moment whatever minute skill city myself idea glass third professional.
272,west african slender-snouted crocodile,mecistops cataphractus,crocodylidae,mecistops,2.08,82.8,adult,female,26-07-2021,guinea,shaded forest rivers,critically endangered,edward clements,most you statement wonder across protect knowledge toward.
273,nile crocodile,crocodylus niloticus,crocodylidae,crocodylus,5.18,848.2,adult,unknown,01-02-2007,tanzania,marshes,least concern,lisa haley,high someone box either rich agency might side.
274,morelet's crocodile,crocodylus moreletii,crocodylidae,crocodylus,2.67,118.9,adult,unknown,16-11-2024,mexico,swamps,least concern,katie tucker,together court message way cold what mrs.
275,saltwater crocodile,crocodylus porosus,crocodylidae,crocodylus,4.19,541.7,adult,female,18-09-2018,australia,mangroves,least concern,austin santiago,ten interest billion mrs reflect wish simple position vote section child.
276,central african slender-snouted crocodile,mecistops leptorhynchus,crocodylidae,mecistops,2.69,125.4,adult,unknown,09-10-2016,congo basin countries,forest rivers,endangered,gary miller,concern edge audience start treat imagine later.
277,west african dwarf crocodile,osteolaemus tetraspis,crocodylidae,osteolaemus,1.28,15.4,subadult,unknown,03-01-2025,ghana,forest swamps,vulnerable,eugene price,movement political peace series.
278,orinoco crocodile,crocodylus intermedius,crocodylidae,crocodylus,3.25,253.9,subadult,unknown,30-12-2009,colombia,flooded savannas,critically endangered,mercedes jones,blood skin feeling beat she join house produce listen mouth carry.
279,american crocodile,crocodylus acutus,crocodylidae,crocodylus,1.78,96.7,juvenile,male,18-01-2014,colombia,coastal lagoons,vulnerable,robert gardner,fear thought whole term possible whatever action themselves center among.
280,congo dwarf crocodile,osteolaemus osborni,crocodylidae,osteolaemus,1.51,23.7,adult,female,24-02-2013,congo (drc),forest swamps,data deficient,jennifer kelley,fight security tough gas include position mention claim determine.
281,new guinea crocodile,crocodylus novaeguineae,crocodylidae,crocodylus,1.76,48.7,juvenile,female,19-12-2012,indonesia (papua),rivers,least concern,cheyenne white,system surface usually yes leave near fact attack better rise maintain former campaign pretty beyond people too fish.
282,hall's new guinea crocodile,crocodylus halli,crocodylidae,crocodylus,2.33,69.2,adult,male,17-09-2007,papua new guinea,freshwater wetlands,least concern,luis torres,charge note space when collection finish size republican political everybody growth quickly former lose knowledge simple main.
283,philippine crocodile,crocodylus mindorensis,crocodylidae,crocodylus,2.02,71.7,subadult,male,10-03-2016,philippines,ponds,critically endangered,matthew miller,teach cause mrs enjoy though.
284,congo dwarf crocodile,osteolaemus osborni,crocodylidae,osteolaemus,1.31,21.1,subadult,unknown,08-10-2024,central african republic,slow streams,data deficient,bernard smith,place spend often shoulder defense already end thus music president chance.
285,siamese crocodile,crocodylus siamensis,crocodylidae,crocodylus,2.76,125.2,adult,unknown,28-06-2016,laos,oxbow lakes,critically endangered,steven lawrence,card may bed hair action draw who word range serious cell city not.
286,new guinea crocodile,crocodylus novaeguineae,crocodylidae,crocodylus,2.29,83.8,subadult,unknown,01-08-2019,papua new guinea,rivers,least concern,shelby thomas,voice american seven discussion enough doctor protect military social hold truth thing always possible billion why.
287,new guinea crocodile,crocodylus novaeguineae,crocodylidae,crocodylus,2.89,144.5,adult,unknown,10-10-2021,indonesia (papua),swamps,least concern,denise harmon,name community president half president structure might heavy.
288,west african dwarf crocodile,osteolaemus tetraspis,crocodylidae,osteolaemus,1.18,15.7,adult,male,30-10-2023,guinea,small streams,vulnerable,kelli gomez,main lot page maybe catch close baby poor deep.
289,congo dwarf crocodile,osteolaemus osborni,crocodylidae,osteolaemus,1.2,16.9,adult,unknown,08-07-2019,central african republic,forest swamps,data deficient,jack love,produce increase form box push look opportunity positive improve during.
290,freshwater crocodile (johnstone's),crocodylus johnstoni,crocodylidae,crocodylus,1.47,30.9,juvenile,female,14-08-2023,australia,gorges,least concern,kevin taylor,always occur argue election conference when out nor affect rest product exist beat.
291,congo dwarf crocodile,osteolaemus osborni,crocodylidae,osteolaemus,1.36,20.2,adult,male,12-03-2009,congo (drc),forest swamps,data deficient,willie dillon,detail improve central old should perhaps member cold rate.
292,saltwater crocodile,crocodylus porosus,crocodylidae,crocodylus,4.96,637.2,subadult,male,30-10-2025,indonesia,estuaries,least concern,linda jones,history board dark teacher mean information change benefit live pass.
293,central african slender-snouted crocodile,mecistops leptorhynchus,crocodylidae,mecistops,3.06,180.7,adult,unknown,13-07-2006,congo basin countries,forest rivers,endangered,richard gordon,behavior process top much ability visit question issue inside.
294,congo dwarf crocodile,osteolaemus osborni,crocodylidae,osteolaemus,1.11,14.6,subadult,unknown,27-08-2015,congo (drc),forest swamps,data deficient,melissa patterson,smile high open scientist seven recent best care local discussion teacher exist theory.
295,west african slender-snouted crocodile,mecistops cataphractus,crocodylidae,mecistops,3.15,187.8,adult,male,28-08-2013,liberia,swamps,critically endangered,colin fletcher,official brother according.
296,west african dwarf crocodile,osteolaemus tetraspis,crocodylidae,osteolaemus,1.64,25.0,adult,male,03-10-2008,ghana,forest swamps,vulnerable,melissa stewart,blood international one end movie north partner.
297,philippine crocodile,crocodylus mindorensis,crocodylidae,crocodylus,2.48,104.1,adult,female,03-07-2019,philippines,ponds,critically endangered,jennifer harris dds,lot have never effect fill general relationship save talk process.
298,nile crocodile,crocodylus niloticus,crocodylidae,crocodylus,1.63,169.1,juvenile,unknown,27-01-2014,south africa,marshes,least concern,jillian lyons,beyond meet skill song.
299,west african crocodile,crocodylus suchus,crocodylidae,crocodylus,2.78,153.8,adult,unknown,10-01-2024,mali,lakes,least concern,melinda williams,who accept before certainly unit itself ask develop bag also his worker pass minute represent.
300,morelet's crocodile,crocodylus moreletii,crocodylidae,crocodylus,2.79,101.5,subadult,male,19-12-2016,mexico,swamps,least concern,theresa wilkins,keep cut prevent sound experience almost outside middle discuss college already dream a church.
301,congo dwarf crocodile,osteolaemus osborni,crocodylidae,osteolaemus,1.35,23.0,adult,unknown,15-05-2013,congo (drc),forest swamps,data deficient,penny gomez md,customer address region try near risk next on girl.
302,saltwater crocodile,crocodylus porosus,crocodylidae,crocodylus,3.62,437.6,adult,unknown,17-09-2012,india,coastal wetlands,least concern,courtney mccarty,upon offer end imagine blood authority family water sort what then spend offer reason whom none.
303,cuban crocodile,crocodylus rhombifer,crocodylidae,crocodylus,2.61,119.8,adult,unknown,07-05-2015,cuba,swamps,critically endangered,nina ali,race to television loss election him small detail.
304,siamese crocodile,crocodylus siamensis,crocodylidae,crocodylus,2.18,76.2,adult,male,25-05-2011,cambodia,slow rivers,critically endangered,rebecca gutierrez,might act strategy eat behavior purpose start away use live government.
305,central african slender-snouted crocodile,mecistops leptorhynchus,crocodylidae,mecistops,2.06,75.7,subadult,male,10-01-2012,cameroon,forest rivers,endangered,debra valentine,material current save their deal dark economic peace choose blood.
306,siamese crocodile,crocodylus siamensis,crocodylidae,crocodylus,2.92,150.7,adult,male,25-06-2019,cambodia,swamps,critically endangered,megan alvarado,according tax when summer he firm together thing off ever consumer.
307,congo dwarf crocodile,osteolaemus osborni,crocodylidae,osteolaemus,1.12,15.5,adult,unknown,13-09-2005,central african republic,forest swamps,data deficient,kayla sanders,campaign moment institution vote allow girl team.
308,congo dwarf crocodile,osteolaemus osborni,crocodylidae,osteolaemus,1.47,25.1,subadult,female,02-01-2008,central african republic,forest swamps,data deficient,joyce martinez,least ready activity decision ok foot party employee nature down likely party hand material decision.
309,hall's new guinea crocodile,crocodylus halli,crocodylidae,crocodylus,1.51,43.1,juvenile,male,14-09-2017,papua new guinea,rivers,least concern,jacqueline dickerson,late number without rather sport result sound new task cultural.
310,saltwater crocodile,crocodylus porosus,crocodylidae,crocodylus,3.65,449.3,juvenile,female,03-08-2025,papua new guinea,estuaries,least concern,nancy kennedy,computer matter yet.
311,new guinea crocodile,crocodylus novaeguineae,crocodylidae,crocodylus,2.26,83.5,adult,unknown,25-11-2008,indonesia (papua),rivers,least concern,kelly le,feel no nothing huge real art sport live picture last free guess night use.
312,hall's new guinea crocodile,crocodylus halli,crocodylidae,crocodylus,1.34,43.5,juvenile,female,03-12-2015,papua new guinea,freshwater wetlands,least concern,alejandro martinez,current office power company sister great pull maintain say threat high expert place certain cold space front piece occur.
313,cuban crocodile,crocodylus rhombifer,crocodylidae,crocodylus,1.51,59.1,juvenile,unknown,02-03-2010,cuba,swamps,critically endangered,andrea martin,finish president report painting house thought.
314,central african slender-snouted crocodile,mecistops leptorhynchus,crocodylidae,mecistops,0.79,33.9,juvenile,male,14-02-2019,congo basin countries,forest rivers,endangered,teresa adkins,whole including contain age road product wait red bag cold.
315,saltwater crocodile,crocodylus porosus,crocodylidae,crocodylus,4.33,658.3,adult,unknown,30-04-2021,malaysia,tidal rivers,least concern,arthur johns,approach side model you billion peace base use hope.
316,philippine crocodile,crocodylus mindorensis,crocodylidae,crocodylus,1.67,48.8,adult,male,24-12-2018,philippines,freshwater marshes,critically endangered,oscar ramos,capital stuff agreement professional team foot live window.
317,west african slender-snouted crocodile,mecistops cataphractus,crocodylidae,mecistops,2.94,142.5,adult,unknown,08-05-2020,côte d'ivoire,shaded forest rivers,critically endangered,denise wallace,computer our piece player nor model police finally girl.
318,orinoco crocodile,crocodylus intermedius,crocodylidae,crocodylus,1.9,121.2,juvenile,unknown,04-02-2017,venezuela,flooded savannas,critically endangered,regina ramos,include choose action model serve carry expert movement reach man sense federal she something.
319,borneo crocodile (disputed),crocodylus raninus,crocodylidae,crocodylus,2.81,138.5,adult,female,11-11-2012,indonesia (borneo),estuarine systems,data deficient,rebecca kelley,in night house clear say hope.
320,siamese crocodile,crocodylus siamensis,crocodylidae,crocodylus,2.97,181.1,adult,male,28-08-2016,cambodia,swamps,critically endangered,dennis henderson,might son party really even possible mother especially.
321,new guinea crocodile,crocodylus novaeguineae,crocodylidae,crocodylus,2.73,104.6,adult,unknown,15-03-2013,indonesia (papua),rivers,least concern,barry taylor,pm pay evening performance could affect anyone movement.
322,philippine crocodile,crocodylus mindorensis,crocodylidae,crocodylus,1.73,45.3,subadult,unknown,06-12-2013,philippines,ponds,critically endangered,brian adams,road do character management game find son your.
323,mugger crocodile (marsh crocodile),crocodylus palustris,crocodylidae,crocodylus,3.22,193.4,subadult,unknown,03-03-2006,sri lanka,marshes,vulnerable,rick rivera,argue simply author like.
324,american crocodile,crocodylus acutus,crocodylidae,crocodylus,3.3,218.0,subadult,female,09-10-2018,usa (florida),mangroves,vulnerable,ryan roth,business should eat.
325,orinoco crocodile,crocodylus intermedius,crocodylidae,crocodylus,2.8,218.0,subadult,unknown,31-08-2020,venezuela,large rivers,critically endangered,jessica rojas,current same behind.
326,hall's new guinea crocodile,crocodylus halli,crocodylidae,crocodylus,2.28,73.1,adult,unknown,06-05-2005,papua new guinea,freshwater wetlands,least concern,christine price,view city rock seat near business loss federal growth appear project wind door.
327,freshwater crocodile (johnstone's),crocodylus johnstoni,crocodylidae,crocodylus,1.75,42.5,juvenile,female,23-11-2017,australia,billabongs,least concern,adrian bauer,build smile across among situation little other he become citizen.
328,borneo crocodile (disputed),crocodylus raninus,crocodylidae,crocodylus,3.0,130.3,adult,female,26-08-2024,malaysia (borneo),estuarine systems,data deficient,luke galvan,art green child movie blue maintain first next popular girl through run again help right economy.
329,central african slender-snouted crocodile,mecistops leptorhynchus,crocodylidae,mecistops,0.72,33.5,juvenile,male,08-03-2020,congo basin countries,forest rivers,endangered,michael hansen,recent couple cost girl run every story trial never attention choice fast enjoy happen.
330,borneo crocodile (disputed),crocodylus raninus,crocodylidae,crocodylus,2.23,83.7,adult,male,09-06-2017,indonesia (borneo),estuarine systems,data deficient,mark gray,third people hair per fly as whose standard couple.
331,hall's new guinea crocodile,crocodylus halli,crocodylidae,crocodylus,1.86,50.8,juvenile,male,29-07-2024,papua new guinea,freshwater wetlands,least concern,pamela moore,follow political book model at strong candidate them.
332,philippine crocodile,crocodylus mindorensis,crocodylidae,crocodylus,1.57,40.7,juvenile,male,21-02-2022,philippines,rivers,critically endangered,john garcia,politics home majority perhaps opportunity any determine responsibility actually tv pretty up story life.
333,new guinea crocodile,crocodylus novaeguineae,crocodylidae,crocodylus,2.33,82.0,adult,unknown,15-04-2011,indonesia (papua),lakes,least concern,heather paul,state some around pay more same strong back democratic.
334,saltwater crocodile,crocodylus porosus,crocodylidae,crocodylus,3.81,493.9,subadult,female,17-06-2020,australia,estuaries,least concern,ashley hall,country moment eat personal condition see indeed black police.
335,west african crocodile,crocodylus suchus,crocodylidae,crocodylus,1.36,45.7,juvenile,female,15-02-2009,chad,lakes,least concern,jimmy ortega,coach congress husband front citizen your.
336,borneo crocodile (disputed),crocodylus raninus,crocodylidae,crocodylus,0.87,30.9,juvenile,male,16-06-2017,malaysia (borneo),estuarine systems,data deficient,harold edwards,suddenly include plan step food drive nation heart nearly.
337,cuban crocodile,crocodylus rhombifer,crocodylidae,crocodylus,1.94,71.6,juvenile,unknown,28-02-2021,cuba,swamps,critically endangered,heather chavez,a alone expect administration career three according worker democrat fire sign.
338,siamese crocodile,crocodylus siamensis,crocodylidae,crocodylus,2.81,127.1,adult,female,26-10-2023,cambodia,swamps,critically endangered,samantha ellison,news unit choice also green catch happen old do specific begin hundred truth.
339,siamese crocodile,crocodylus siamensis,crocodylidae,crocodylus,2.13,74.7,adult,unknown,28-01-2017,thailand,swamps,critically endangered,misty mcguire,major together reflect standard believe politics also space high.
340,new guinea crocodile,crocodylus novaeguineae,crocodylidae,crocodylus,2.59,90.2,subadult,male,15-05-2019,indonesia (papua),swamps,least concern,tammy cook,indicate test thank dinner present own activity since him fight american music change.
341,american crocodile,crocodylus acutus,crocodylidae,crocodylus,3.05,188.0,adult,female,01-02-2011,colombia,mangroves,vulnerable,connie williams,wife send offer bed it skill challenge from live seat nature energy huge its recently.
342,west african slender-snouted crocodile,mecistops cataphractus,crocodylidae,mecistops,3.32,230.9,adult,unknown,25-10-2021,guinea,shaded forest rivers,critically endangered,karen gonzalez,present cultural pattern save east author since food.
343,west african crocodile,crocodylus suchus,crocodylidae,crocodylus,2.28,97.8,adult,female,22-02-2010,mauritania,oases,least concern,ann powers,half couple general pretty show college glass start sort perhaps key.
344,west african slender-snouted crocodile,mecistops cataphractus,crocodylidae,mecistops,2.95,170.0,subadult,female,21-04-2017,côte d'ivoire,shaded forest rivers,critically endangered,cynthia jennings,serious table both approach we unit than star add really born.
345,orinoco crocodile,crocodylus intermedius,crocodylidae,crocodylus,3.49,305.4,adult,unknown,12-12-2011,colombia,flooded savannas,critically endangered,alexander clark,deep national seek nature performance yeah reason property heavy town money eight art customer recent even let.
346,mugger crocodile (marsh crocodile),crocodylus palustris,crocodylidae,crocodylus,0.61,56.4,hatchling,female,08-06-2011,pakistan,lakes,vulnerable,andrea guerrero,ten affect test power discuss herself with between firm term mother cost may.
347,central african slender-snouted crocodile,mecistops leptorhynchus,crocodylidae,mecistops,2.1,87.2,adult,male,27-03-2014,congo basin countries,swamps,endangered,timothy smith,two figure majority season adult range green few you without.
348,mugger crocodile (marsh crocodile),crocodylus palustris,crocodylidae,crocodylus,2.8,149.4,subadult,unknown,11-02-2023,nepal,reservoirs,vulnerable,antonio scott,three spring ahead never exactly charge today prevent because him whether partner personal dinner drive.
349,siamese crocodile,crocodylus siamensis,crocodylidae,crocodylus,2.92,166.7,adult,female,17-09-2020,vietnam,slow rivers,critically endangered,wesley browning,last capital present ok range dark catch read together travel involve.
350,nile crocodile,crocodylus niloticus,crocodylidae,crocodylus,2.04,168.7,juvenile,male,19-05-2008,kenya,reservoirs,least concern,patricia douglas,true fish newspaper we brother fish they risk she they increase.
351,new guinea crocodile,crocodylus novaeguineae,crocodylidae,crocodylus,0.24,32.3,hatchling,male,05-04-2006,indonesia (papua),swamps,least concern,jeremy peck,charge could capital ago worry pay.
352,congo dwarf crocodile,osteolaemus osborni,crocodylidae,osteolaemus,0.9,9.0,juvenile,female,18-07-2010,congo (drc),forest swamps,data deficient,lisa carlson,reach grow read live maybe painting republican hear system man case.
353,morelet's crocodile,crocodylus moreletii,crocodylidae,crocodylus,2.59,87.1,subadult,unknown,07-09-2016,mexico,rivers,least concern,andrew duran,understand wear development provide dark daughter computer.
354,freshwater crocodile (johnstone's),crocodylus johnstoni,crocodylidae,crocodylus,0.88,20.5,juvenile,male,15-03-2005,australia,gorges,least concern,jessica williamson,term thought into simply part station result hour voice occur movie political region.
355,cuban crocodile,crocodylus rhombifer,crocodylidae,crocodylus,2.92,139.4,adult,unknown,07-05-2006,cuba,swamps,critically endangered,brian bryant,there early mrs worker always.
356,congo dwarf crocodile,osteolaemus osborni,crocodylidae,osteolaemus,1.09,13.9,subadult,female,01-04-2021,congo (drc),slow streams,data deficient,phillip estes,fact huge fight still leave.
357,central african slender-snouted crocodile,mecistops leptorhynchus,crocodylidae,mecistops,2.64,129.9,adult,female,05-06-2021,gabon,swamps,endangered,louis brown,tough less position bed may conference one thus national hotel food agent law to time think bed.
358,orinoco crocodile,crocodylus intermedius,crocodylidae,crocodylus,0.65,97.9,hatchling,male,20-10-2024,venezuela,flooded savannas,critically endangered,matthew dawson,responsibility but box last guy model himself.
359,new guinea crocodile,crocodylus novaeguineae,crocodylidae,crocodylus,2.5,97.3,subadult,female,12-03-2014,indonesia (papua),lakes,least concern,kayla herring,nearly analysis color friend the television class.
360,west african dwarf crocodile,osteolaemus tetraspis,crocodylidae,osteolaemus,0.15,5.4,hatchling,male,12-11-2025,sierra leone,small streams,vulnerable,randy williams,finally shoulder land phone brother capital.
361,west african slender-snouted crocodile,mecistops cataphractus,crocodylidae,mecistops,2.87,168.0,adult,female,12-11-2016,guinea,shaded forest rivers,critically endangered,marcus king,marriage material space part management describe process law kind over according.
362,american crocodile,crocodylus acutus,crocodylidae,crocodylus,2.02,92.5,juvenile,unknown,09-07-2017,colombia,coastal lagoons,vulnerable,diana fuller,any challenge president already take project study fear turn.
363,west african slender-snouted crocodile,mecistops cataphractus,crocodylidae,mecistops,3.28,217.2,adult,unknown,19-07-2008,ghana,swamps,critically endangered,jason thompson,particularly reality organization skin concern lay often use behavior federal.
364,new guinea crocodile,crocodylus novaeguineae,crocodylidae,crocodylus,1.46,41.8,juvenile,unknown,09-10-2025,indonesia (papua),swamps,least concern,james jones,successful assume likely business teacher forget including decide decade around number without more because.
365,west african slender-snouted crocodile,mecistops cataphractus,crocodylidae,mecistops,2.28,114.0,adult,unknown,20-06-2016,ghana,shaded forest rivers,critically endangered,lisa french,interview summer employee offer perhaps until.
366,saltwater crocodile,crocodylus porosus,crocodylidae,crocodylus,4.16,558.3,subadult,unknown,03-08-2025,india,estuaries,least concern,kathleen daniel,manage conference participant remember without ability agency personal brother summer son yourself increase.
367,central african slender-snouted crocodile,mecistops leptorhynchus,crocodylidae,mecistops,2.08,88.4,adult,female,03-11-2005,congo basin countries,swamps,endangered,justin walsh,political real effort attack.
368,saltwater crocodile,crocodylus porosus,crocodylidae,crocodylus,4.78,696.0,adult,male,02-11-2011,philippines,estuaries,least concern,joshua wang,rate game right pattern ahead compare form full.
369,congo dwarf crocodile,osteolaemus osborni,crocodylidae,osteolaemus,1.28,19.0,adult,female,20-11-2021,congo (drc),forest swamps,data deficient,sydney robles,loss physical throughout mr friend six including sea strong.
370,freshwater crocodile (johnstone's),crocodylus johnstoni,crocodylidae,crocodylus,2.04,59.3,subadult,male,15-10-2015,australia,billabongs,least concern,nathaniel stewart,affect officer forward trouble somebody at chance subject fund heart move coach paper cost bring.
371,philippine crocodile,crocodylus mindorensis,crocodylidae,crocodylus,2.04,65.8,subadult,male,25-01-2020,philippines,rivers,critically endangered,elizabeth hodge,even beautiful theory he stop few modern.
372,hall's new guinea crocodile,crocodylus halli,crocodylidae,crocodylus,3.03,145.9,subadult,unknown,09-04-2008,papua new guinea,freshwater wetlands,least concern,james johnson,tree kitchen agent lot matter couple type.
373,philippine crocodile,crocodylus mindorensis,crocodylidae,crocodylus,1.42,33.3,juvenile,female,24-07-2020,philippines,rivers,critically endangered,kelly rowe,show better word might yeah day already hold ten break.
374,central african slender-snouted crocodile,mecistops leptorhynchus,crocodylidae,mecistops,2.22,95.0,subadult,male,04-08-2020,congo basin countries,forest rivers,endangered,andrew charles,four threat billion she seat against serve police.
375,west african dwarf crocodile,osteolaemus tetraspis,crocodylidae,osteolaemus,0.78,6.5,juvenile,female,24-10-2019,liberia,small streams,vulnerable,curtis mitchell,five kid brother chance event address performance method.
376,nile crocodile,crocodylus niloticus,crocodylidae,crocodylus,4.1,513.9,adult,female,15-11-2015,sudan,rivers,least concern,gregory flores,wall sound off commercial find throughout.
377,philippine crocodile,crocodylus mindorensis,crocodylidae,crocodylus,1.61,40.4,subadult,female,21-12-2012,philippines,freshwater marshes,critically endangered,amber johnson,black approach interview condition other or structure record pattern.
378,siamese crocodile,crocodylus siamensis,crocodylidae,crocodylus,0.43,28.5,hatchling,male,31-08-2012,vietnam,oxbow lakes,critically endangered,robert marquez,bad type share nothing behavior sort recognize best financial popular.
379,american crocodile,crocodylus acutus,crocodylidae,crocodylus,3.25,194.1,subadult,female,28-05-2025,venezuela,mangroves,vulnerable,julie meza,technology pay tree hot record professor small think law air.
380,congo dwarf crocodile,osteolaemus osborni,crocodylidae,osteolaemus,0.84,9.9,juvenile,male,25-08-2014,congo (drc),forest swamps,data deficient,gregory murray,executive give offer meet if research blood news.
381,american crocodile,crocodylus acutus,crocodylidae,crocodylus,4.07,352.7,adult,female,28-09-2024,colombia,brackish rivers,vulnerable,eric murray,including per nature wind himself future sport opportunity six itself skin name door.
382,west african slender-snouted crocodile,mecistops cataphractus,crocodylidae,mecistops,0.88,37.6,juvenile,unknown,03-11-2018,liberia,shaded forest rivers,critically endangered,angela galvan,student boy other foot best knowledge final image our rate others.
383,mugger crocodile (marsh crocodile),crocodylus palustris,crocodylidae,crocodylus,3.25,186.3,adult,unknown,28-07-2019,nepal,rivers,vulnerable,erin newman,bed stage thought tough player a chair chance.
384,central african slender-snouted crocodile,mecistops leptorhynchus,crocodylidae,mecistops,2.72,155.3,adult,female,29-12-2009,congo basin countries,forest rivers,endangered,jean lane,day theory feel some quickly truth view.
385,american crocodile,crocodylus acutus,crocodylidae,crocodylus,3.14,196.7,adult,male,04-08-2014,colombia,coastal lagoons,vulnerable,suzanne mooney,account worry identify camera family hard nature apply reflect star grow technology tend dog reduce hour.
386,new guinea crocodile,crocodylus novaeguineae,crocodylidae,crocodylus,2.6,106.1,adult,male,05-09-2016,papua new guinea,swamps,least concern,james james,deep community cause new successful growth individual eye their by activity possible century those price window.
387,saltwater crocodile,crocodylus porosus,crocodylidae,crocodylus,6.12,1139.7,adult,male,14-07-2011,papua new guinea,coastal wetlands,least concern,chad shaffer,throw receive us perhaps lawyer interest star his difficult interesting account.
388,freshwater crocodile (johnstone's),crocodylus johnstoni,crocodylidae,crocodylus,1.58,36.6,juvenile,unknown,25-03-2016,australia,freshwater rivers,least concern,dr. michael adams dvm,happen within nothing relate both loss real center rule worker worker single let back three because line score.
389,cuban crocodile,crocodylus rhombifer,crocodylidae,crocodylus,3.27,191.8,adult,female,09-01-2007,cuba,swamps,critically endangered,angela schultz,fine apply gas sing light mention light safe inside whether.
390,morelet's crocodile,crocodylus moreletii,crocodylidae,crocodylus,1.82,59.0,adult,unknown,24-09-2018,mexico,rivers,least concern,donna johnson,see risk nor article list college appear wrong speak person expert bar measure surface everyone car exactly tax add.
391,west african crocodile,crocodylus suchus,crocodylidae,crocodylus,0.9,37.1,juvenile,male,31-05-2014,niger,lakes,least concern,christopher vargas,process have compare site door congress month almost worker whose.
392,freshwater crocodile (johnstone's),crocodylus johnstoni,crocodylidae,crocodylus,2.06,63.1,subadult,unknown,10-02-2023,australia,gorges,least concern,samantha monroe,side draw key point decision same generation politics sense break cold human feeling second.
393,mugger crocodile (marsh crocodile),crocodylus palustris,crocodylidae,crocodylus,0.64,47.8,hatchling,unknown,04-07-2017,sri lanka,lakes,vulnerable,kim james,listen certain that activity until large question which.
394,cuban crocodile,crocodylus rhombifer,crocodylidae,crocodylus,0.79,48.4,juvenile,male,28-01-2020,cuba,freshwater wetlands,critically endangered,amanda hardin,what it truth teach friend environment better pressure hospital significant see same open.
395,hall's new guinea crocodile,crocodylus halli,crocodylidae,crocodylus,2.81,110.9,adult,female,24-07-2015,papua new guinea,freshwater wetlands,least concern,george vaughn,finish action across attack in moment rate goal.
